,id,title_original,title_normalized,source_page,region,ai_category,ingredient_json,instruction,region_clean,province_group,category
10,MR_194_01,KETUPAT,Ketupat,194,,Makanan Pokok,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""beras 1 lt."", ""item_original"": ""beras"", ""item_normalized"": ""beras"", ""quantity"": 1.0, ""unit"": ""liter""}, {""original_text"": ""kulit ketupat (sedang) 10 bdj."", ""item_original"": ""kulit ketupat (sedang)"", ""item_normalized"": ""kulit ketupat (sedang)"", ""quantity"": 10.0, ""unit"": ""buah""}]}]","Beras ditjutji bersih.
Diisikan kedalam kulit ketupat.
Mengisinja separuh kulit ketupat.
Dandang diisi dengan air dan ketupat dimasukkan, ditunggu sampai mendidih.
Dimasak selama 3 djam.",,Unknown,MAKANAN UTAMA
11,MR_194_02,LOKA DIPEAPI,Loka Dipeapi,194,Mandar,Kue,"[{""group_name"": ""bahan utama"", ""original_header"": ""Bumbu²"", ""ingredients"": [{""original_text"": ""pisang kepok atau pisang radja jang tua 10 bdj."", ""item_original"": ""pisang kepok atau pisang radja jang tua"", ""item_normalized"": ""pisang kepok atau pisang raja yang tua"", ""quantity"": 10.0, ""unit"": ""buah""}, {""original_text"": ""kelapa ½ btr."", ""item_original"": ""kelapa"", ""item_normalized"": ""kelapa"", ""quantity"": 0.5, ""unit"": ""butir""}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu"", ""ingredients"": [{""original_text"": ""garam setjukupnja"", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": null, ""unit"": ""secukupnya""}]}]",Pisang direbus dengan kulitnja.,Mandar,Sulawesi Barat,MAKANAN UTAMA
12,MR_195_01,LONTONG,Lontong,195,,Makanan Pokok,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""beras 1 lt."", ""item_original"": ""beras"", ""item_normalized"": ""beras"", ""quantity"": 1.0, ""unit"": ""liter""}, {""original_text"": ""kulit lontong 20 bdj."", ""item_original"": ""kulit lontong"", ""item_normalized"": ""kulit lontong"", ""quantity"": 20.0, ""unit"": ""biji""}]}]","Beras dicuci bersih.
Daun pisang dibuat urung/kulit lontong.
Diisi dengan beras hanya setengahnya, setelah itu ditutup dengan biting.
Direbus dengan air selama 3 jam.
Sebelum 3 jam jika air habis ditambah lagi.
Catatan: Beras untuk lontong harus yang pera, jika beras pulen maka lontong akan menjadi lembek.",,Unknown,MAKANAN UTAMA
13,MR_195_02,LONTONG DJAGUNG,Lontong Jagung,195,,Makanan Pokok,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""djagung 1 kg."", ""item_original"": ""djagung"", ""item_normalized"": ""jagung"", ""quantity"": 1.0, ""unit"": ""kilogram""}, {""original_text"": ""daun pisang 4 plp."", ""item_original"": ""daun pisang"", ""item_normalized"": ""daun pisang"", ""quantity"": 4.0, ""unit"": ""pelepah""}]}]",,,Unknown,MAKANAN UTAMA
14,MR_196_01,LONTONG/KETUPAT DJAGUNG DENGAN BERAS,Lontong/Ketupat Jagung dengan Beras,196,,Makanan Pokok,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""beras djagung 2 gls."", ""item_original"": ""beras djagung"", ""item_normalized"": ""beras jagung"", ""quantity"": 2.0, ""unit"": ""gelas""}, {""original_text"": ""beras 2 gls."", ""item_original"": ""beras"", ""item_normalized"": ""beras"", ""quantity"": 2.0, ""unit"": ""gelas""}, {""original_text"": ""daun pisang/kulit ketupat"", ""item_original"": ""daun pisang/kulit ketupat"", ""item_normalized"": ""daun pisang/kulit ketupat"", ""quantity"": null, ""unit"": null}, {""original_text"": ""lidi untuk menjemat lontong."", ""item_original"": ""lidi"", ""item_normalized"": ""lidi"", ""quantity"": null, ""unit"": null}]}]","Beras djagung ditampi, kemudian ditjutji bersih, bagian jang terapung dibuang.
Kemudian direndam satu malam, setelah direndam ditjutji bersih lalu ditiriskan.
Beras biasa ditjutji bersih dan ditiriskan. Kemudian beras djagung dan beras ditjampur dan diaduk sampai rata.
Tjampuran ini dimasukkan daun pisang jang digulung memandjang dan disemat dengan biting atau dimasukkan kedalam kulit ketupat sebanjak setengah lebih.
Direbus terendam air selama 5 djam sesudah air mendidih. Didjaga agar lontong atau ketupat tetap terendam air selama direbus.
Kemudian diangkat dan didinginkan.",,Unknown,MAKANAN UTAMA
15,MR_196_02,NASI BRIANI,Nasi Biryani,196,Medan,Nasi,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""beras 1½ kg."", ""item_original"": ""beras"", ""item_normalized"": ""beras"", ""quantity"": 1.5, ""unit"": ""kilogram""}, {""original_text"": ""susu asam 1 lt."", ""item_original"": ""susu asam"", ""item_normalized"": ""susu asam"", ""quantity"": 1.0, ""unit"": ""liter""}, {""original_text"": ""kas² ½ ggm."", ""item_original"": ""kas²"", ""item_normalized"": ""kas"", ""quantity"": 0.5, ""unit"": ""genggam""}, {""original_text"": ""kenari ½ ons"", ""item_original"": ""kenari"", ""item_normalized"": ""kenari"", ""quantity"": 0.5, ""unit"": ""ons""}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu²"", ""ingredients"": [{""original_text"": ""djae 3 ons"", ""item_original"": ""djae"", ""item_normalized"": ""jahe"", ""quantity"": 3.0, ""unit"": ""ons""}, {""original_text"": ""bawang merah 20 bh."", ""item_original"": ""bawang merah"", ""item_normalized"": ""bawang merah"", ""quantity"": 20.0, ""unit"": ""buah""}, {""original_text"": ""djinten putih 1 sdm."", ""item_original"": ""djinten putih"", ""item_normalized"": ""jintan putih"", ""quantity"": 1.0, ""unit"": ""sendok makan""}, {""original_text"": ""tjengkeh 10 bdj."", ""item_original"": ""tjengkeh"", ""item_normalized"": ""cengkeh"", ""quantity"": 10.0, ""unit"": ""biji""}, {""original_text"": ""djeruk nipis 1 bh."", ""item_original"": ""djeruk nipis"", ""item_normalized"": ""jeruk nipis"", ""quantity"": 1.0, ""unit"": ""buah""}, {""original_text"": ""bumbu korma 1 sdm."", ""item_original"": ""bumbu korma"", ""item_normalized"": ""bumbu kurma"", ""quantity"": 1.0, ""unit"": ""sendok makan""}, {""original_text"": ""bawang putih 2 siung"", ""item_original"": ""bawang putih"", ""item_normalized"": ""bawang putih"", ""quantity"": 2.0, ""unit"": ""siung""}, {""original_text"": ""djinten manis 1 sdm."", ""item_original"": ""djinten manis"", ""item_normalized"": ""jintan manis"", ""quantity"": 1.0, ""unit"": ""sendok makan""}, {""original_text"": ""kulit manis 1 pt."", ""item_original"": ""kulit manis"", ""item_normalized"": ""kayu manis"", ""quantity"": 1.0, ""unit"": ""potong""}, {""original_text"": ""garam 1 sdm."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": 1.0, ""unit"": ""sendok makan""}]}]","Beras ditjutji sampai bersih.
Semua bumbu digiling, ditumis dengan minjak sedikit sesudah itu dimasukkan daging lantas dituangkan susu jang telah diasamkan.
Sesudah daging itu bertjampur dengan bumbu, baru boleh dimasukkan beras, dibubuhi sedikit air jang sama banjaknja dengan berasnja.
Direbus sampai masak.",Medan,Sumatera Utara,MAKANAN UTAMA
16,MR_197_02,NASI DJAGUNG,Nasi Jagung,197,,Main Dish,"[{""group_name"": ""utama"", ""original_header"": ""Bahan"", ""ingredients"": [{""original_text"": ""djagung pipilan 1 kg."", ""item_original"": ""djagung pipilan"", ""item_normalized"": ""jagung pipilan"", ""quantity"": 1.0, ""unit"": ""kilogram""}]}]","Djagung ditumbuk, ditampi sampai bersih, mendjadi beras djagung.
Ditjutji, direndam dalam air 3 hari 3 malam.
Selesai itu ditjutji lagi, ditiriskan.
Ditumbuk, dibuat tepung halus dan ditapis.
Tepung beras diberi air ± 2 gelas, diaduk jang rata.
Dikukus ½ masak.
Ditaruh diatas tampah, diberi air panas 2 gelas, diaduk (dikaru) sampai dingin.
Dikukus sampai masak, lalu diangkat.",,Unknown,MAKANAN UTAMA
17,MR_197_03,NASI DJAGUNG DENGAN BERAS,Nasi Jagung dengan Beras,197,,Main Dish,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""beras djagung 1 kg."", ""item_original"": ""beras djagung"", ""item_normalized"": ""beras jagung"", ""quantity"": 1.0, ""unit"": ""kilogram""}, {""original_text"": ""beras 1 kg."", ""item_original"": ""beras"", ""item_normalized"": ""beras"", ""quantity"": 1.0, ""unit"": ""kilogram""}]}]",,,Unknown,MAKANAN UTAMA
18,MR_198_01,NASI DJAGUNG GAPLEK,Nasi Jagung Gaplek,198,Madura,Makanan Pokok,"[{""group_name"": ""bahan_utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""djagung bidji setengah tua 1 kg."", ""item_original"": ""djagung bidji setengah tua"", ""item_normalized"": ""jagung biji setengah tua"", ""quantity"": 1.0, ""unit"": ""kilogram""}, {""original_text"": ""gaplek 1 kg."", ""item_original"": ""gaplek"", ""item_normalized"": ""gaplek"", ""quantity"": 1.0, ""unit"": ""kilogram""}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu²"", ""ingredients"": [{""original_text"": ""air 1 gls."", ""item_original"": ""air"", ""item_normalized"": ""air"", ""quantity"": 1.0, ""unit"": ""gelas""}, {""original_text"": ""garam 2 sdm."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": 2.0, ""unit"": ""sendok makan""}]}]","Jagung ditumbuk kasar menjadi beras.
Gaplek ditumbuk kasar menjadi beras.
Beras jagung dan beras gaplek dicampur.
Campuran dikukus setengah masak.
Dikeru dengan air yang diberi garam, sampai merata.
Dikukus lagi sampai masak.",Madura,Jawa Timur,MAKANAN UTAMA
19,MR_199_01,NASI DJAGUNG NANGKA MUDA,Nasi Jagung Nangka Muda,199,Madura,Nasi,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""djagung"", ""item_original"": ""djagung"", ""item_normalized"": ""jagung"", ""quantity"": 0.5, ""unit"": ""kg""}, {""original_text"": ""nangka muda"", ""item_original"": ""nangka muda"", ""item_normalized"": ""nangka muda"", ""quantity"": 0.5, ""unit"": ""buah""}]}]","Jagung direbus 1/2 masak.
Nangka muda dihancurkan.
Disusun dalam kukusan ber-lapis² jagung dan nangka; dikukus sampai masak.
Setelah masak dicampur.",Madura,Jawa Timur,MAKANAN UTAMA
20,MR_199_02,NASI DJAGUNG UBI KAJU,Nasi Jagung Ubi Kayu,199,,Nasi,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""djagung 1 kg."", ""item_original"": ""djagung"", ""item_normalized"": ""jagung"", ""quantity"": 1.0, ""unit"": ""kg""}, {""original_text"": ""ubi kaju 2 kg."", ""item_original"": ""ubi kaju"", ""item_normalized"": ""ubi kayu"", ""quantity"": 2.0, ""unit"": ""kg""}]}]","Beras jagung dimasak sampai 1/2 masak.
Ubi kayu diparut kasar.
Beras jagung ditaruh dalam kukusan, di atasnya ditaruh parutan ubi kayu.
Dikukus sampai masak.
Setelah masak, dicampur.",,Unknown,MAKANAN UTAMA
21,MR_199_03,NASI GOLONG,Nasi Golong,199,,Nasi,"[{""group_name"": ""utama"", ""original_header"": ""Bahan :"", ""ingredients"": [{""original_text"": ""nasi 1 kg."", ""item_original"": ""nasi"", ""item_normalized"": ""nasi"", ""quantity"": 1.0, ""unit"": ""kg""}]}]",Nasi panas yang telah didinginkan dikepal-kepal sehingga menjadi bulat sebesar jeruk sedang.,,Unknown,MAKANAN UTAMA
